ID,Blue Side,Red Side,Victor,Blue Ban 1,Blue Ban 2,Blue Ban 3,Blue Ban 4,Blue Ban 5,Red Ban 1,Red Ban 2,Red Ban 3,Red Ban 4,Red Ban 5,Blue Pick 1,Blue Pick 2,Blue Pick 3,Blue Pick 4,Blue Pick 5,Red Pick 1,Red Pick 2,Red Pick 3,Red Pick 4,Red Pick 5
87,Rebellion Zion,Alter Ego,Alter Ego,Kadita,Chou,Fanny,Arlott,Terizla,Franco,Kaja,Valentina,Novaria,Angela,Joy,Fredrinn,Claude,Grock,Cecilion,Edith,Yve,Martis,Irithel,Khaleed
88,Rebellion Zion,Alter Ego,Rebellion Zion,Kadita,Fanny,Chou,Helcurt,Hayabusa,Franco,Kaja,Valentina,Angela,Novaria,Yve,Martis,Claude,Minotaur,Paquito,Edith,Irithel,Pharsa,Lancelot,Grock
89,Bigetron Alpha,Geek Fam ID,Geek Fam ID,Natalia,Kaja,Faramis,Gloo,Uranus,Joy,Fanny,Paquito,Baxia,Martis,Valentina,Beatrix,Minotaur,Grock,Helcurt,Kadita,Claude,Lancelot,Terizla,Ruby
90,Bigetron Alpha,Geek Fam ID,Geek Fam ID,Kaja,Faramis,Kadita,Martis,Natalia,Joy,Fanny,Paquito,Lesley,Terizla,Valentina,Lancelot,Franco,Karrie,Edith,Claude,Uranus,Pharsa,Ruby,Baxia
91,Alter Ego,Rex Regum Qeon,Alter Ego,Claude,Beatrix,Paquito,Harith,Brody,Fanny,Joy,Kadita,Novaria,Uranus,Irithel,Martis,Yve,Edith,Terizla,Valentina,Chou,Yu Zhong,Fredrinn,Karrie
92,Rex Regum Qeon,Alter Ego,Rex Regum Qeon,Joy,Fanny,Chou,Novaria,Brody,Claude,Beatrix,Kadita,Fredrinn,Baxia,Irithel,Paquito,Yve,Lancelot,Khufra,Valentina,Terizla,Martis,Clint,Edith
93,Alter Ego,Rex Regum Qeon,Rex Regum Qeon,Claude,Beatrix,Paquito,Brody,Karrie,Fanny,Kadita,Joy,Novaria,Helcurt,Irithel,Terizla,Valentina,Lancelot,Minotaur,Chou,Yve,Yu Zhong,Baxia,Bruno
94,Geek Fam ID,ONIC Esport,Geek Fam ID,Joy,Valentina,Edith,Kaja,Chang'e,Paquito,Fanny,Beatrix,Pharsa,Ruby,Kadita,Terizla,Claude,Yve,Baxia,Faramis,Fredrinn,Wanwan,Grock,Lancelot
95,ONIC Esport,Geek Fam ID,Geek Fam ID,Claude,Yve,Paquito,Beatrix,Irithel,Joy,Kadita,Fanny,Edith,Fredrinn,Valentina,Melissa,Uranus,Khufra,Bane,Faramis,Lancelot,Kaja,Brody,Terizla
96,Alter Ego,Bigetron Alpha,Alter Ego,Paquito,Angela,Fredrinn,Baxia,Martis,Chou,Kadita,Terizla,Harith,Irithel,Fanny,Yve,Khufra,Dyrroth,Beatrix,Kaja,Valentina,Uranus,Claude,Lancelot
97,Alter Ego,Bigetron Alpha,Bigetron Alpha,Paquito,Angela,Fredrinn,Beatrix,Brody,Chou,Kadita,Terizla,Kaja,Uranus,Fanny,Yve,Claude,Gloo,Khufra,Valentina,Grock,Joy,Irithel,Akai
98,Bigetron Alpha,Alter Ego,Alter Ego,Terizla,Kadita,Chou,Baxia,Martis,Paquito,Fanny,Joy,Ling,Lancelot,Uranus,Harith,Angela,Edith,Aulus,Valentina,Dyrroth,Beatrix,Fredrinn,Novaria
99,AURA Fire,Rex Regum Qeon,AURA Fire,Claude,Kadita,Irithel,Kaja,Baxia,Fanny,Joy,Edith,Terizla,Uranus,Yve,Brody,Fredrinn,Grock,Khaleed,Beatrix,Paquito,Pharsa,Chou,Martis
100,AURA Fire,Rex Regum Qeon,Rex Regum Qeon,Kadita,Claude,Irithel,Karrie,Wanwan,Fanny,Edith,Johnson,Chou,Helcurt,Yve,Beatrix,Terizla,Khufra,Lancelot,Valentina,Fredrinn,Kaja,Bruno,Yu Zhong
101,Rex Regum Qeon,AURA Fire,Rex Regum Qeon,Johnson,Edith,Fanny,Yve,Pharsa,Kadita,Claude,Fredrinn,Terizla,Chou,Valentina,Grock,Brody,Khufra,Yu Zhong,Irithel,Paquito,Baxia,Kaja,Novaria
102,Rebellion Zion,Dewa United,Dewa United,Chou,Lancelot,Kadita,Edith,Khufra,Paquito,Kaja,Yve,Joy,Terizla,Valentina,Franco,Beatrix,Gloo,Baxia,Fredrinn,Pharsa,Brody,Ruby,Lapu-Lapu
103,Rebellion Zion,Dewa United,Dewa United,Chou,Lancelot,Kadita,Terizla,X.Borg,Paquito,Kaja,Yve,Lesley,Brody,Fredrinn,Novaria,Edith,Pharsa,Karrie,Baxia,Valentina,Claude,Granger,Lapu-Lapu
104,ONIC Esport,Alter Ego,ONIC Esport,Terizla,Yve,Paquito,Uranus,Martis,Fanny,Joy,Kadita,Ling,Lancelot,Fredrinn,Claude,Khufra,Yu Zhong,Faramis,Valentina,Chou,Irithel,Baxia,X.Borg
105,Alter Ego,ONIC Esport,ONIC Esport,Joy,Fanny,Claude,Harith,Karrie,Terizla,Yve,Valentina,Uranus,Paquito,Kadita,Beatrix,Novaria,Arlott,Martis,Fredrinn,Faramis,Ling,Angela,Wanwan
106,Rebellion Zion,Rex Regum Qeon,Rex Regum Qeon,Kadita,Chou,Yve,Kaja,Baxia,Joy,Fanny,Edith,Gord,Franco,Claude,Novaria,Terizla,Guinevere,Lapu-Lapu,Valentina,Paquito,Irithel,Fredrinn,Khufra
107,Rex Regum Qeon,Rebellion Zion,Rebellion Zion,Joy,Fanny,Edith,Novaria,Wanwan,Kadita,Chou,Khufra,Baxia,Martis,Claude,Valentina,Yu Zhong,Grock,Kaja,Fredrinn,Paquito,Yve,Irithel,Franco
108,Rebellion Zion,Rex Regum Qeon,Rebellion Zion,Kadita,Chou,Valentina,Khufra,Edith,Joy,Yve,Fanny,Franco,Kaja,Paquito,Novaria,Irithel,Terizla,Martis,Claude,Fredrinn,Pharsa,Esmeralda,Minotaur
109,Dewa United,Bigetron Alpha,Bigetron Alpha,Fanny,Paquito,Joy,Dyrroth,Novaria,Fredrinn,Terizla,Kadita,Ling,Baxia,Angela,X.Borg,Brody,Martis,Chou,Grock,Valentina,Claude,Lancelot,Esmeralda
110,Dewa United,Bigetron Alpha,Dewa United,Fanny,Paquito,Angela,Hayabusa,Baxia,Fredrinn,Kadita,Terizla,Brody,Lesley,Joy,Valentina,Edith,Grock,Bruno,Kaja,Claude,Pharsa,Lancelot,Gloo
111,Dewa United,Bigetron Alpha,Dewa United,Fanny,Paquito,Angela,X.Borg,Grock,Kadita,Terizla,Edith,Kaja,Franco,Fredrinn,Irithel,Yve,Ruby,Uranus,Joy,Valentina,Beatrix,Chou,Khaleed
112,EVOS Legends,Geek Fam ID,Geek Fam ID,Yve,Joy,Novaria,Lancelot,X.Borg,Kadita,Fanny,Paquito,Martis,Diggie,Valentina,Terizla,Bruno,Angela,Baxia,Fredrinn,Edith,Faramis,Beatrix,Ruby
113,Geek Fam ID,EVOS Legends,Geek Fam ID,Joy,Angela,Kaja,Gord,Bruno,Yve,Fanny,Kadita,Claude,X.Borg,Fredrinn,Ruby,Valentina,Arlott,Irithel,Edith,Lancelot,Terizla,Novaria,Ixia
114,Dewa United,ONIC Esport,Dewa United,Fanny,Paquito,Kadita,X.Borg,Brody,Yve,Fredrinn,Terizla,Uranus,Arlott,Valentina,Baxia,Kaja,Lapu-Lapu,Irithel,Joy,Edith,Gord,Khufra,Ixia
115,ONIC Esport,Dewa United,ONIC Esport,Terizla,Baxia,Kaja,Uranus,Franco,Fanny,Paquito,Kadita,Valentina,Novaria,Fredrinn,Joy,Chou,Lylia,Beatrix,Edith,Yve,Martis,Bruno,Ruby
116,Dewa United,ONIC Esport,Dewa United,Fanny,Paquito,Kadita,Brody,Chou,Kaja,Fredrinn,Baxia,Irithel,Franco,Valentina,Uranus,Hayabusa,Edith,Melissa,Yve,Joy,Dyrroth,Bruno,Hilda
117,EVOS Legends,Alter Ego,EVOS Legends,Kadita,Yve,Joy,Helcurt,Chou,Paquito,Fanny,Edith,Diggie,Floryn,Fredrinn,Gord,Bruno,Arlott,Uranus,Valentina,X.Borg,Brody,Akai,Valir
118,EVOS Legends,Alter Ego,Alter Ego,Joy,Yve,Fredrinn,Novaria,Diggie,Paquito,Fanny,Kadita,Claude,Uranus,Valentina,Lancelot,Edith,Irithel,Grock,Terizla,Bruno,Helcurt,Chou,Faramis
119,Alter Ego,EVOS Legends,Alter Ego,Paquito,Joy,Fanny,Claude,Beatrix,Kadita,Yve,Novaria,Lancelot,Helcurt,Bruno,Faramis,Terizla,Valir,Hayabusa,Valentina,Fredrinn,X.Borg,Ixia,Chou
120,Rebellion Zion,AURA Fire,Rebellion Zion,Kadita,Chou,Fredrinn,Khufra,Martis,Franco,Yve,Edith,Brody,Kaja,Paquito,Valentina,Baxia,Irithel,Angela,Terizla,Bruno,Novaria,Guinevere,Pharsa
121,AURA Fire,Rebellion Zion,Rebellion Zion,Franco,Yve,Edith,Grock,Novaria,Kadita,Chou,Terizla,Angela,Khufra,Paquito,Bruno,Baxia,Floryn,Pharsa,Valentina,Fredrinn,Irithel,Kaja,Balmond
122,Rex Regum Qeon,ONIC Esport,ONIC Esport,Fanny,Joy,Faramis,Lancelot,Helcurt,Claude,Yve,Paquito,Yu Zhong,Khufra,Kadita,Baxia,Edith,Irithel,Chou,Valentina,Fredrinn,Bruno,Kaja,X.Borg
123,ONIC Esport,Rex Regum Qeon,ONIC Esport,Claude,Yve,Baxia,Kaja,Yu Zhong,Fanny,Kadita,Joy,Novaria,Lancelot,Fredrinn,Chou,Bruno,X.Borg,Gord,Edith,Valentina,Martis,Brody,Paquito
124,Rex Regum Qeon,Bigetron Alpha,Rex Regum Qeon,Fanny,Joy,Diggie,Irithel,Lancelot,Claude,Yve,Paquito,Kadita,Chou,Bruno,Martis,X.Borg,Grock,Lylia,Edith,Fredrinn,Gord,Brody,Esmeralda
125,Rex Regum Qeon,Bigetron Alpha,Bigetron Alpha,Fanny,Joy,Diggie,Irithel,Brody,Claude,Yve,Martis,Faramis,Valentina,Bruno,Fredrinn,Khufra,Lylia,Terizla,Paquito,Edith,Kadita,Beatrix,Lancelot
126,Rex Regum Qeon,Bigetron Alpha,Rex Regum Qeon,Fanny,Diggie,Joy,Kadita,Novaria,Claude,Yve,Martis,Beatrix,Irithel,Edith,Valentina,Grock,Yu Zhong,Brody,Paquito,Fredrinn,Bruno,Faramis,Valir
127,Dewa United,EVOS Legends,Dewa United,Fanny,Paquito,Valentina,Edith,Kaja,Yve,Joy,Fredrinn,Irithel,Claude,Angela,X.Borg,Baxia,Beatrix,Novaria,Martis,Kadita,Bruno,Lapu-Lapu,Estes
128,Dewa United,EVOS Legends,EVOS Legends,Fanny,Paquito,Angela,Diggie,Estes,Joy,X.Borg,Novaria,Kaja,Yu Zhong,Valentina,Baxia,Edith,Irithel,Lapu-Lapu,Bruno,Terizla,Gord,Fredrinn,Kadita
129,Dewa United,EVOS Legends,Dewa United,Fanny,Paquito,Bruno,Kadita,Yu Zhong,Joy,X.Borg,Yve,Faramis,Novaria,Terizla,Brody,Franco,Pharsa,Baxia,Fredrinn,Angela,Beatrix,Valentina,Lapu-Lapu
130,AURA Fire,Bigetron Alpha,Bigetron Alpha,Fanny,Joy,Kadita,Pharsa,Lancelot,Fredrinn,Yve,Valentina,Brody,Novaria,Edith,Gord,Baxia,Beatrix,Esmeralda,Paquito,Bruno,Grock,Lylia,Diggie
131,AURA Fire,Bigetron Alpha,Bigetron Alpha,Fanny,Joy,Bruno,Grock,Baxia,Fredrinn,Yve,Valentina,Diggie,Martis,Paquito,Brody,Gord,Guinevere,Khufra,Claude,Edith,Kadita,Lancelot,Terizla
132,Alter Ego,Geek Fam ID,Alter Ego,Fredrinn,Yve,Fanny,Beatrix,Gloo,Kadita,Bruno,Joy,Helcurt,Baxia,Terizla,Novaria,Claude,Martis,Khufra,Valentina,Edith,Lancelot,Kaja,Irithel
133,Alter Ego,Geek Fam ID,Geek Fam ID,Fredrinn,Yve,Fanny,Faramis,Novaria,Terizla,Kadita,Bruno,Martis,Joy,Valentina,Claude,Yu Zhong,Valir,Akai,Edith,Baxia,Irithel,Gord,Khaleed
134,Alter Ego,Geek Fam ID,Geek Fam ID,Baxia,Yve,Fanny,Faramis,Khaleed,Terizla,Kadita,Bruno,X.Borg,Gloo,Valentina,Irithel,Grock,Yu Zhong,Valir,Edith,Fredrinn,Beatrix,Novaria,Uranus
135,Geek Fam ID,Dewa United,Dewa United,Terizla,Bruno,Angela,Ruby,Khufra,Fanny,Valentina,Joy,Irithel,Beatrix,Edith,Kadita,Lancelot,Paquito,Brody,Fredrinn,Yve,Claude,Kaja,Yu Zhong
136,Geek Fam ID,Dewa United,Dewa United,Terizla,Angela,Bruno,Lapu-Lapu,X.Borg,Fanny,Valentina,Joy,Edith,Kadita,Fredrinn,Gord,Claude,Arlott,Khufra,Baxia,Yve,Irithel,Kaja,Uranus
137,AURA Fire,ONIC Esport,ONIC Esport,Fanny,Joy,Bruno,Kaja,Martis,Fredrinn,Yve,Baxia,Terizla,Paquito,Claude,Valentina,Lancelot,Khufra,X.Borg,Kadita,Edith,Irithel,Hayabusa,Uranus
138,ONIC Esport,AURA Fire,ONIC Esport,Yve,Baxia,Martis,Terizla,X.Borg,Joy,Bruno,Fanny,Hayabusa,Chou,Fredrinn,Kadita,Irithel,Leomord,Kaja,Claude,Edith,Lancelot,Pharsa,Khufra
139,Rebellion Zion,Bigetron Alpha,Rebellion Zion,Kadita,Joy,Fanny,Lancelot,Khufra,Paquito,Edith,Fredrinn,Diggie,Angela,Bruno,Baxia,Valentina,Kaja,Lapu-Lapu,Brody,Yve,Terizla,Martis,Franco
140,Rebellion Zion,Bigetron Alpha,Rebellion Zion,Kadita,Joy,Fanny,Novaria,Gord,Paquito,Fredrinn,Valentina,Arlott,Kaja,Yve,Irithel,Baxia,Angela,Edith,Terizla,Bruno,Lancelot,Lylia,Grock
141,Dewa United,Alter Ego,Alter Ego,Fanny,Bruno,Kadita,Yu Zhong,Beatrix,Baxia,Terizla,Yve,Chou,Grock,Fredrinn,Brody,Pharsa,Uranus,Kaja,Novaria,Martis,Edith,Claude,Dyrroth
142,Dewa United,Alter Ego,Dewa United,Fanny,Bruno,Novaria,Claude,Dyrroth,Baxia,Yve,Terizla,Faramis,Angela,Edith,Fredrinn,Irithel,Franco,Pharsa,Martis,Kadita,Valentina,Uranus,Brody
143,Dewa United,Alter Ego,Alter Ego,Fanny,Bruno,Novaria,Chou,Kaja,Baxia,Yve,Terizla,Franco,Uranus,Edith,Irithel,Martis,Pharsa,Angela,Fredrinn,Kadita,Claude,Valentina,Helcurt
144,EVOS Legends,Rex Regum Qeon,Rex Regum Qeon,Paquito,Yve,Claude,Gord,Terizla,Fanny,Bruno,Joy,Kadita,X.Borg,Novaria,Fredrinn,Brody,Arlott,Badang,Edith,Irithel,Baxia,Yu Zhong,Angela
145,Rex Regum Qeon,EVOS Legends,Rex Regum Qeon,Fanny,Joy,Bruno,X.Borg,Yu Zhong,Yve,Paquito,Edith,Irithel,Beatrix,Baxia,Terizla,Novaria,Karrie,Kaja,Kadita,Claude,Gord,Grock,Alpha
146,Rebellion Zion,ONIC Esport,ONIC Esport,Kadita,Fanny,Chou,Terizla,Irithel,Baxia,Fredrinn,Paquito,Kaja,Franco,Bruno,Martis,Valentina,Angela,Lapu-Lapu,Yve,Edith,Joy,Beatrix,Ruby
147,Rebellion Zion,ONIC Esport,ONIC Esport,Kadita,Fanny,Chou,Terizla,Dyrroth,Baxia,Fredrinn,Paquito,Kaja,Franco,Bruno,Martis,Valentina,Diggie,Uranus,Yve,Edith,Joy,Beatrix,Khaleed
148,EVOS Legends,AURA Fire,EVOS Legends,Yve,Paquito,Bruno,Yu Zhong,Khufra,Joy,Kadita,Fredrinn,Martis,Lancelot,Edith,Pharsa,Beatrix,Terizla,Dyrroth,Baxia,Valentina,Claude,Grock,Angela
149,AURA Fire,EVOS Legends,EVOS Legends,Joy,Kadita,Baxia,Martis,Akai,Yve,Paquito,Lancelot,Uranus,Terizla,Fredrinn,Irithel,Chou,Fanny,Pharsa,Bruno,Edith,Yu Zhong,Valentina,Grock
150,Geek Fam ID,Rex Regum Qeon,Geek Fam ID,Paquito,Baxia,Edith,Yu Zhong,Martis,Fanny,Joy,Mathilda,Lancelot,Kaja,Fredrinn,Valentina,Irithel,Rafaela,Khaleed,Benedetta,Kadita,Chou,Guinevere,Popol and Kupa
151,Geek Fam ID,Rex Regum Qeon,Geek Fam ID,Paquito,Baxia,Edith,Kaja,Yu Zhong,Fanny,Joy,Mathilda,Lancelot,Gloo,Fredrinn,Bruno,Rafaela,Khaleed,Novaria,Irithel,Valentina,Akai,Angela,Terizla
152,Rebellion Zion,EVOS Legends,EVOS Legends,Kadita,Yve,Bruno,Rafaela,Baxia,Paquito,Mathilda,Edith,Franco,X.Borg,Angela,Brody,Fredrinn,Ruby,Lapu-Lapu,Irithel,Valentina,Terizla,Kaja,Joy
153,EVOS Legends,Rebellion Zion,EVOS Legends,Paquito,Franco,Baxia,Bruno,Terizla,Kadita,Edith,Mathilda,Angela,Kaja,Irithel,Pharsa,Yu Zhong,Chou,Fanny,Fredrinn,Valentina,Rafaela,Beatrix,Arlott
154,Geek Fam ID,AURA Fire,AURA Fire,Paquito,Yve,Martis,Angela,Kaja,Baxia,Valentina,Fredrinn,Bruno,Irithel,Mathilda,Terizla,Fanny,Harith,Lylia,Edith,Joy,Brody,Kadita,Khufra
155,AURA Fire,Geek Fam ID,Geek Fam ID,Baxia,Valentina,Fanny,Novaria,Khaleed,Fredrinn,Mathilda,Joy,Brody,Kaja,Edith,Lancelot,Kadita,Beatrix,Paquito,Irithel,Rafaela,Martis,Faramis,Uranus
156,Geek Fam ID,AURA Fire,Geek Fam ID,Joy,Kadita,Fanny,Angela,Khufra,Baxia,Valentina,Edith,Uranus,Khaleed,Mathilda,Martis,Bruno,Novaria,Esmeralda,Irithel,Fredrinn,Lylia,Paquito,Kaja
157,Bigetron Alpha,ONIC Esport,ONIC Esport,Fredrinn,Valentina,Kadita,Lancelot,Grock,Paquito,Angela,Mathilda,Terizla,Uranus,Fanny,Novaria,Edith,X.Borg,Melissa,Kaja,Faramis,Brody,Akai,Khaleed
158,ONIC Esport,Bigetron Alpha,ONIC Esport,Paquito,Angela,Fredrinn,X.Borg,Wanwan,Fanny,Joy,Mathilda,Ling,Hayabusa,Kadita,Irithel,Terizla,Valentina,Leomord,Novaria,Edith,Lancelot,Bruno,Khufra
159,Rebellion Zion,Geek Fam ID,Rebellion Zion,Kadita,Fanny,Fredrinn,Minotaur,Ruby,Mathilda,Kaja,Baxia,Yve,Beatrix,Edith,Franco,Martis,Angela,Irithel,Joy,Valentina,Terizla,Rafaela,Brody
160,Geek Fam ID,Rebellion Zion,Geek Fam ID,Franco,Kaja,Angela,Paquito,Uranus,Kadita,Mathilda,Terizla,Novaria,Lylia,Edith,Rafaela,Fredrinn,Beatrix,Valentina,Irithel,Baxia,Yve,Lapu-Lapu,Minotaur
161,Rebellion Zion,Geek Fam ID,Geek Fam ID,Fredrinn,Kadita,Rafaela,Uranus,Valentina,Franco,Kaja,Mathilda,Terizla,Paquito,Edith,Irithel,Martis,Novaria,Valir,Angela,Baxia,Bruno,X.Borg,Gord
162,AURA Fire,Alter Ego,Alter Ego,Fanny,Terizla,Valentina,Uranus,Esmeralda,Fredrinn,Paquito,Angela,Lylia,Yve,Mathilda,Joy,Irithel,Edith,Chou,Rafaela,Baxia,Bruno,Khaleed,Faramis
163,AURA Fire,Alter Ego,AURA Fire,Fanny,Terizla,Valentina,Faramis,Khaleed,Fredrinn,Paquito,Angela,Yve,Kadita,Mathilda,Martis,Irithel,Pharsa,Badang,Baxia,Rafaela,Bruno,Novaria,Yu Zhong
164,AURA Fire,Alter Ego,AURA Fire,Fanny,Terizla,Valentina,Khaleed,Yu Zhong,Fredrinn,Paquito,Mathilda,Pharsa,Badang,Irithel,Martis,Rafaela,Benedetta,Novaria,Angela,Baxia,Bruno,Lapu-Lapu,Faramis
165,ONIC Esport,EVOS Legends,ONIC Esport,Baxia,Yu Zhong,Angela,Akai,Grock,Fanny,Kadita,Mathilda,Joy,Hayabusa,Fredrinn,Bruno,Novaria,Floryn,Khaleed,Irithel,Valentina,Edith,Martis,Rafaela
166,EVOS Legends,ONIC Esport,EVOS Legends,Fanny,Kadita,Edith,Bruno,Kaja,Yu Zhong,Angela,Novaria,Khaleed,Paquito,Mathilda,Irithel,Baxia,Pharsa,Terizla,Valentina,Fredrinn,Joy,Brody,Chou
167,EVOS Legends,ONIC Esport,ONIC Esport,Fanny,Kadita,Valentina,Kaja,Franco,Mathilda,Baxia,Irithel,Yu Zhong,Khaleed,Angela,Bruno,Akai,Pharsa,Uranus,Beatrix,Novaria,X.Borg,Edith,Lancelot
168,EVOS Legends,Bigetron Alpha,Bigetron Alpha,Paquito,Fanny,Angela,Diggie,X.Borg,Irithel,Mathilda,Baxia,Arlott,Yu Zhong,Edith,Fredrinn,Beatrix,Kadita,Khufra,Bruno,Valentina,Lancelot,Terizla,Atlas
169,EVOS Legends,Bigetron Alpha,Bigetron Alpha,Fanny,Edith,Lancelot,Novaria,Franco,Irithel,Mathilda,Baxia,Akai,Martis,Bruno,Terizla,Valentina,Rafaela,Grock,Angela,Paquito,Fredrinn,Beatrix,Cecilion
170,Rex Regum Qeon,Dewa United,Rex Regum Qeon,Mathilda,Rafaela,Kaja,Grock,Valentina,Fanny,Paquito,Angela,Kadita,Yu Zhong,Edith,Irithel,Martis,Khaleed,Lylia,Fredrinn,Novaria,Brody,Terizla,Franco
171,Rex Regum Qeon,Dewa United,Dewa United,Mathilda,Rafaela,Kaja,Franco,Kadita,Fanny,Paquito,Angela,Lancelot,Joy,Irithel,Edith,Yu Zhong,Gord,Martis,Novaria,Fredrinn,X.Borg,Chou,Karrie
172,Dewa United,Rex Regum Qeon,Rex Regum Qeon,Fanny,Paquito,Irithel,Chou,Ixia,Mathilda,Rafaela,Kaja,Fredrinn,Franco,Novaria,Brody,X.Borg,Grock,Lancelot,Angela,Baxia,Yu Zhong,Edith,Claude